file                                             words  ~tokens
ENGINEERING_PERSONA.haiku.md                      5901     7671
ENGINEERING_PERSONA.sonnet.md                     8205    10666
ENGINEERING_PERSONA.opus.md                       8601    11181
ENGINEERING_PERSONA.fable.md                      8601    11181
LANGUAGES/ai-prompting.haiku.md                    198      257
LANGUAGES/ai-prompting.sonnet.md                   324      421
LANGUAGES/ai-prompting.opus.md                     392      510
LANGUAGES/ai-prompting.fable.md                    392      510
LANGUAGES/arm-x86-asm.haiku.md                     206      268
LANGUAGES/arm-x86-asm.sonnet.md                    284      369
LANGUAGES/arm-x86-asm.opus.md                      337      438
LANGUAGES/arm-x86-asm.fable.md                     337      438
LANGUAGES/wasm.haiku.md                            167      217
LANGUAGES/wasm.sonnet.md                           228      296
LANGUAGES/wasm.opus.md                             268      348
LANGUAGES/wasm.fable.md                            268      348
LANGUAGES/c-cpp.haiku.md                           148      192
LANGUAGES/c-cpp.sonnet.md                          210      273
LANGUAGES/c-cpp.opus.md                            255      332
LANGUAGES/c-cpp.fable.md                           255      332
LANGUAGES/rust.haiku.md                            143      186
LANGUAGES/rust.sonnet.md                           205      266
LANGUAGES/rust.opus.md                             252      328
LANGUAGES/rust.fable.md                            252      328
LANGUAGES/go.haiku.md                              135      176
LANGUAGES/go.sonnet.md                             186      242
LANGUAGES/go.opus.md                               231      300
LANGUAGES/go.fable.md                              231      300
LANGUAGES/python.haiku.md                          124      161
LANGUAGES/python.sonnet.md                         173      225
LANGUAGES/python.opus.md                           213      277
LANGUAGES/python.fable.md                          213      277
LANGUAGES/node-ts-js.haiku.md                      121      157
LANGUAGES/node-ts-js.sonnet.md                     182      237
LANGUAGES/node-ts-js.opus.md                       219      285
LANGUAGES/node-ts-js.fable.md                      219      285
LANGUAGES/html-css.haiku.md                        140      182
LANGUAGES/html-css.sonnet.md                       179      233
LANGUAGES/html-css.opus.md                         220      286
LANGUAGES/html-css.fable.md                        220      286
LANGUAGES/java.haiku.md                            135      176
LANGUAGES/java.sonnet.md                           175      228
LANGUAGES/java.opus.md                             215      280
LANGUAGES/java.fable.md                            215      280
LANGUAGES/kotlin.haiku.md                          133      173
LANGUAGES/kotlin.sonnet.md                         163      212
LANGUAGES/kotlin.opus.md                           197      256
LANGUAGES/kotlin.fable.md                          197      256
LANGUAGES/flutter-dart.haiku.md                    140      182
LANGUAGES/flutter-dart.sonnet.md                   186      242
LANGUAGES/flutter-dart.opus.md                     227      295
LANGUAGES/flutter-dart.fable.md                    227      295
LANGUAGES/powershell.haiku.md                      142      185
LANGUAGES/powershell.sonnet.md                     177      230
LANGUAGES/powershell.opus.md                       208      270
LANGUAGES/powershell.fable.md                      208      270
LANGUAGES/bash.haiku.md                            162      211
LANGUAGES/bash.sonnet.md                           201      261
LANGUAGES/bash.opus.md                             242      315
LANGUAGES/bash.fable.md                            242      315
